#arXiv:nucl-ex/0307022
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg026_data.html
#pT[G	Minimum		0--5%		5--10%		10--15%		15--20%		20--30%		30--40%		40--50%		50--60%		60--70%		70--80%		80--92%		60--92%	
0.25	1.07e+02	8.8e-01	3.29e+02	2.7e+00	2.76e+02	2.3e+00	2.39e+02	2.0e+00	2.04e+02	1.7e+00	1.57e+02	1.3e+00	1.07e+02	8.9e-01	6.84e+01	5.7e-01	4.10e+01	3.4e-01	2.19e+01	1.9e-01	1.03e+01	9.2e-02	5.20e+00	5.0e-02	1.28e+01	1.1e-01
0.35	6.06e+01	5.0e-01	1.97e+02	1.6e+00	1.64e+02	1.4e+00	1.39e+02	1.2e+00	1.18e+02	9.9e-01	8.82e+01	7.4e-01	5.86e+01	4.9e-01	3.67e+01	3.1e-01	2.17e+01	1.9e-01	1.13e+01	1.0e-01	5.27e+00	5.0e-02	2.75e+00	2.8e-02	6.61e+00	5.7e-02
0.45	3.63e+01	3.1e-01	1.20e+02	1.1e+00	9.93e+01	8.7e-01	8.41e+01	7.4e-01	7.09e+01	6.2e-01	5.27e+01	4.6e-01	3.46e+01	3.0e-01	2.15e+01	1.9e-01	1.24e+01	1.1e-01	6.37e+00	6.0e-02	2.95e+00	3.1e-02	1.49e+00	1.8e-02	3.71e+00	3.4e-02
0.55	2.18e+01	2.0e-01	7.26e+01	6.7e-01	6.02e+01	5.6e-01	5.08e+01	4.7e-01	4.28e+01	4.0e-01	3.17e+01	2.9e-01	2.06e+01	1.9e-01	1.26e+01	1.2e-01	7.20e+00	7.0e-02	3.65e+00	3.8e-02	1.62e+00	1.9e-02	8.20e-01	1.1e-02	2.09e+00	2.1e-02
0.65	1.34e+01	1.3e-01	4.49e+01	4.5e-01	3.74e+01	3.8e-01	3.16e+01	3.2e-01	2.65e+01	2.7e-01	1.95e+01	2.0e-01	1.26e+01	1.3e-01	7.66e+00	8.0e-02	4.33e+00	4.7e-02	2.18e+00	2.6e-02	9.63e-01	1.3e-02	4.72e-01	8.1e-03	1.24e+00	1.4e-02
0.75	8.71e+00	9.5e-02	2.93e+01	3.3e-01	2.43e+01	2.7e-01	2.05e+01	2.3e-01	1.73e+01	2.0e-01	1.27e+01	1.4e-01	8.29e+00	9.4e-02	4.99e+00	5.8e-02	2.78e+00	3.4e-02	1.36e+00	1.9e-02	5.91e-01	9.9e-03	2.69e-01	5.9e-03	7.63e-01	9.6e-03
0.85	5.41e+00	6.3e-02	1.82e+01	2.2e-01	1.53e+01	1.8e-01	1.29e+01	1.6e-01	1.07e+01	1.3e-01	7.94e+00	9.5e-02	5.10e+00	6.3e-02	3.04e+00	3.9e-02	1.67e+00	2.3e-02	8.36e-01	1.3e-02	3.53e-01	7.1e-03	1.63e-01	4.4e-03	4.64e-01	6.6e-03
0.95	3.59e+00	4.5e-02	1.21e+01	1.6e-01	1.01e+01	1.3e-01	8.56e+00	1.1e-01	7.12e+00	9.6e-02	5.31e+00	7.0e-02	3.38e+00	4.6e-02	2.02e+00	2.9e-02	1.11e+00	1.7e-02	5.29e-01	9.6e-03	2.22e-01	5.4e-03	1.02e-01	3.4e-03	2.93e-01	4.8e-03
1.05	2.35e+00	3.1e-02	7.96e+00	1.1e-01	6.56e+00	9.3e-02	5.56e+00	8.0e-02	4.77e+00	6.9e-02	3.49e+00	4.9e-02	2.22e+00	3.2e-02	1.30e+00	2.0e-02	7.11e-01	1.2e-02	3.51e-01	7.3e-03	1.41e-01	4.1e-03	6.51e-02	2.6e-03	1.91e-01	3.5e-03
1.15	1.58e+00	2.2e-02	5.32e+00	8.0e-02	4.47e+00	6.8e-02	3.72e+00	5.7e-02	3.16e+00	5.0e-02	2.34e+00	3.5e-02	1.50e+00	2.4e-02	8.78e-01	1.5e-02	4.71e-01	9.2e-03	2.21e-01	5.4e-03	1.01e-01	3.4e-03	4.48e-02	2.2e-03	1.26e-01	2.6e-03
1.25	1.05e+00	1.5e-02	3.55e+00	5.7e-02	2.99e+00	4.9e-02	2.51e+00	4.2e-02	2.10e+00	3.6e-02	1.56e+00	2.5e-02	9.99e-01	1.7e-02	5.98e-01	1.1e-02	3.14e-01	6.9e-03	1.51e-01	4.3e-03	6.06e-02	2.5e-03	2.63e-02	1.6e-03	8.15e-02	2.0e-03
1.35	7.59e-01	1.2e-02	2.55e+00	4.5e-02	2.15e+00	3.9e-02	1.81e+00	3.3e-02	1.52e+00	2.9e-02	1.12e+00	2.0e-02	7.17e-01	1.4e-02	4.26e-01	9.0e-03	2.31e-01	5.8e-03	1.10e-01	3.6e-03	4.25e-02	2.1e-03	2.07e-02	1.5e-03	5.96e-02	1.7e-03
1.45	5.16e-01	8.3e-03	1.72e+00	3.3e-02	1.45e+00	2.8e-02	1.23e+00	2.5e-02	1.05e+00	2.2e-02	7.57e-01	1.5e-02	4.98e-01	1.0e-02	2.91e-01	6.9e-03	1.59e-01	4.6e-03	7.17e-02	2.8e-03	3.04e-02	1.8e-03	1.30e-02	1.1e-03	3.95e-02	1.3e-03
1.55	3.37e-01	5.6e-03	1.13e+00	2.3e-02	9.36e-01	2.0e-02	7.93e-01	1.7e-02	6.78e-01	1.5e-02	5.07e-01	1.0e-02	3.24e-01	7.4e-03	1.97e-01	5.2e-03	1.02e-01	3.4e-03	4.72e-02	2.2e-03	1.89e-02	1.3e-03	8.48e-03	8.8e-04	2.56e-02	9.7e-04
1.65	2.44e-01	4.2e-03	8.05e-01	1.8e-02	6.68e-01	1.6e-02	5.78e-01	1.4e-02	4.93e-01	1.2e-02	3.67e-01	8.3e-03	2.31e-01	5.9e-03	1.42e-01	4.2e-03	7.47e-02	2.8e-03	3.50e-02	1.8e-03	1.52e-02	1.2e-03	7.00e-03	8.1e-04	1.96e-02	8.4e-04
1.75	1.77e-01	3.3e-03	5.70e-01	1.4e-02	4.84e-01	1.3e-02	4.19e-01	1.1e-02	3.60e-01	1.0e-02	2.67e-01	6.7e-03	1.69e-01	4.9e-03	1.03e-01	3.5e-03	5.60e-02	2.4e-03	2.63e-02	1.6e-03	1.03e-02	1.0e-03	5.37e-03	7.1e-04	1.44e-02	7.1e-04
1.85	1.27e-01	2.4e-03	4.18e-01	1.2e-02	3.42e-01	1.0e-02	2.99e-01	9.1e-03	2.56e-01	8.2e-03	1.92e-01	5.3e-03	1.22e-01	3.9e-03	7.29e-02	2.8e-03	3.80e-02	2.0e-03	1.92e-02	1.3e-03	8.04e-03	8.7e-04	3.87e-03	6.0e-04	1.07e-02	6.0e-04
1.95	9.01e-02	1.9e-03	2.80e-01	9.0e-03	2.50e-01	8.3e-03	2.07e-01	7.3e-03	1.78e-01	6.6e-03	1.38e-01	4.3e-03	8.80e-02	3.3e-03	5.80e-02	2.5e-03	2.86e-02	1.7e-03	1.41e-02	1.2e-03	6.06e-03	7.6e-04	2.26e-03	4.6e-04	7.68e-03	5.1e-04
2.05	6.68e-02	1.2e-03	2.09e-01	6.1e-03	1.82e-01	5.6e-03	1.56e-01	5.0e-03	1.35e-01	4.6e-03	1.00e-01	2.9e-03	6.67e-02	2.3e-03	4.13e-02	1.7e-03	2.26e-02	1.2e-03	1.12e-02	8.4e-04	4.34e-03	5.3e-04	1.56e-03	3.1e-04	5.87e-03	3.6e-04
2.15	4.71e-02	8.9e-04	1.36e-01	4.8e-03	1.27e-01	4.6e-03	1.05e-01	4.1e-03	1.02e-01	4.0e-03	7.41e-02	2.4e-03	4.90e-02	1.9e-03	2.92e-02	1.4e-03	1.60e-02	1.0e-03	6.73e-03	6.6e-04	3.09e-03	4.5e-04	1.23e-03	2.8e-04	3.78e-03	2.9e-04
2.25	3.27e-02	6.8e-04	9.10e-02	3.8e-03	8.06e-02	3.5e-03	8.05e-02	3.5e-03	6.65e-02	3.1e-03	5.16e-02	2.0e-03	3.58e-02	1.6e-03	2.09e-02	1.2e-03	1.13e-02	8.6e-04	5.46e-03	5.9e-04	2.43e-03	4.0e-04	8.48e-04	2.3e-04	2.99e-03	2.6e-04
2.35	2.60e-02	6.2e-04	7.20e-02	3.6e-03	6.28e-02	3.3e-03	5.78e-02	3.1e-03	5.43e-02	3.0e-03	4.12e-02	1.9e-03	2.84e-02	1.5e-03	1.87e-02	1.2e-03	9.73e-03	8.5e-04	4.42e-03	5.7e-04	1.98e-03	3.9e-04	8.16e-04	2.5e-04	2.47e-03	2.5e-04
2.45	1.94e-02	5.3e-04	5.40e-02	3.2e-03	4.57e-02	2.9e-03	4.06e-02	2.7e-03	3.97e-02	2.6e-03	3.28e-02	1.7e-03	2.27e-02	1.4e-03	1.21e-02	9.8e-04	7.73e-03	7.8e-04	3.27e-03	5.0e-04	1.30e-03	3.2e-04	3.19e-04	1.6e-04	1.68e-03	2.1e-04
2.55	1.49e-02	4.7e-04	3.78e-02	2.8e-03	3.59e-02	2.7e-03	3.18e-02	2.5e-03	2.88e-02	2.4e-03	2.41e-02	1.5e-03	1.70e-02	1.3e-03	1.11e-02	1.0e-03	5.77e-03	7.2e-04	3.38e-03	5.5e-04	1.17e-03	3.3e-04	5.92e-04	2.3e-04	1.77e-03	2.3e-04
2.65	1.13e-02	4.2e-04	2.65e-02	2.5e-03	2.50e-02	2.4e-03	2.44e-02	2.3e-03	2.21e-02	2.2e-03	1.85e-02	1.4e-03	1.40e-02	1.2e-03	8.92e-03	9.5e-04	4.48e-03	6.7e-04	2.82e-03	5.2e-04	5.70e-04	2.4e-04	3.37e-04	1.8e-04	1.28e-03	2.1e-04
2.75	9.30e-03	4.0e-04	2.27e-02	2.5e-03	2.19e-02	2.4e-03	1.83e-02	2.1e-03	1.58e-02	2.0e-03	1.55e-02	1.4e-03	1.20e-02	1.2e-03	7.80e-03	9.5e-04	3.84e-03	6.7e-04	1.72e-03	4.4e-04	8.51e-04	3.2e-04	4.22e-04	2.2e-04	1.02e-03	2.0e-04
2.85	6.20e-03	3.2e-04	1.28e-02	1.9e-03	1.21e-02	1.8e-03	1.30e-02	1.8e-03	1.37e-02	1.9e-03	1.03e-02	1.1e-03	7.69e-03	9.7e-04	5.80e-03	8.3e-04	2.30e-03	5.2e-04	1.35e-03	4.0e-04	6.79e-04	2.9e-04	1.65e-04	1.4e-04	7.49e-04	1.7e-04
2.95	5.17e-03	3.1e-04	1.03e-02	1.8e-03	1.08e-02	1.8e-03	1.04e-02	1.8e-03	1.08e-02	1.8e-03	9.32e-03	1.2e-03	6.39e-03	9.6e-04	4.49e-03	7.9e-04	2.16e-03	5.5e-04	1.16e-03	4.0e-04	2.88e-04	2.0e-04	1.90e-04	1.6e-04	5.61e-04	1.6e-04

